Original Property URL,Trakheesi URL,Bedrooms,Bathrooms,Property Value (AED),Property Size (Sqm)
https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-arabian-ranches-2-camelia-camelia-1-12730733.html,https://trakheesi.dubailand.gov.ae/rev/madmoun/listing/validation?khevJujtDig=cxfqif71bcvz4d9qgfehfuskfiytnw6c78evcivflsgoxetvd,4 Bedrooms,3 Bathrooms,"4,200,000",220.9
https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-arabian-ranches-2-palma-12730400.html,https://trakheesi.dubailand.gov.ae/rev/madmoun/listing/validation?khevJujtDig=e7xqbgvjau8i1w22bvgktt5mqi15z4ej09chluxkcvmpnvhuw,4 Bedrooms + Maid,4 Bathrooms,"6,000,000",404.99
https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-arabian-ranches-2-rasha-12730401.html,https://trakheesi.dubailand.gov.ae/rev/madmoun/listing/validation?khevJujtDig=cub8xa7v3dieksnpj33f78gf0jz6fdjpx32jnrfoedvggxkbp,4 Bedrooms + Maid,4 Bathrooms,"9,750,000",893.53
